tingkatan,theme_name,bidang_code,bidang_name,standard_kandungan_code,standard_kandungan_name,standard_pembelajaran_code,standard_pembelajaran_name
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.1,Sistem Endokrin Manusia,7.1.1,Menerangkan sistem endokrin manusia
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.1,Sistem Endokrin Manusia,7.1.2,Menerangkan fungsi hormon yang dirembeskan oleh kelenjar endokrin
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.2,Gangguan kepada Sistem Koordinasi Badan,7.2.1,Menerangkan punca dan kesan ketidakseimbangan hormon
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.2,Gangguan kepada Sistem Koordinasi Badan,7.2.2,Menerangkan kesan penyalahgunaan dadah dan alkohol terhadap koordinasi badan
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.2,Gangguan kepada Sistem Koordinasi Badan,7.2.3,Menerangkan kesan penyalahgunaan bahan terhadap kesihatan
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.2,Gangguan kepada Sistem Koordinasi Badan,7.2.4,Mewajarkan kepentingan menghindari penyalahgunaan bahan
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.3,Minda yang Sihat,7.3.1,Menerangkan maksud minda yang sihat
4,Penyenggaraan dan Kesinambungan Hidup,7.0,Koordinasi Badan,7.3,Minda yang Sihat,7.3.2,Mewajarkan kepentingan minda yang sihat dalam kehidupan
4,Penerokaan Unsur dalam Alam,8.0,Unsur dan Bahan,8.1,Asas Jirim,8.1.1,Menerangkan zarah subatom dalam atom
4,Penerokaan Unsur dalam Alam,8.0,Unsur dan Bahan,8.1,Asas Jirim,8.1.2,"Membandingkan atom, molekul dan ion"
4,Penerokaan Unsur dalam Alam,8.0,Unsur dan Bahan,8.1,Asas Jirim,8.1.3,Menerangkan kewujudan isotop dan kegunaannya
